jhostname,ip,mac,sistema_operativo,ram_gb,departamento,rol
SRV-OBF-0246,172.25.164.148,C6:B1:36:0B:49:75,Ubuntu 22.04 LTS,8,Operaciones,DNS
SRV-TZT-0247,192.168.251.107,C4:9E:89:0F:1C:D2,Windows Server 2022,4,Marketing,Backup
SRV-GLO-0248,192.168.172.199,D0:55:4D:9F:B1:89,Windows Server 2019,32,IT,Mail Server
SRV-VWA-0249,10.228.18.66,24:83:69:01:DE:67,Ubuntu 22.04 LTS,32,Logística,Proxy
SRV-JHF-0250,172.28.102.137,06:B9:D2:E3:F8:7A,Windows Server 2022,16,Logística,File Server
SRV-ETN-0251,192.168.82.101,E4:92:BB:29:9F:85,Windows Server 2022,16,Operaciones,DB Server
SRV-KYF-0252,10.209.205.76,4A:93:74:C4:FA:6E,Windows Server 2022,64,Operaciones,DB Server
SRV-NRY-0253,172.19.51.29,FC:C4:45:69:F7:97,Windows Server 2019,2,Finanzas,DB Server
SRV-JFL-0254,192.168.14.130,90:EF:DE:12:B7:41,Ubuntu 20.04 LTS,2,Dirección,Mail Server
SRV-WPQ-0255,10.103.34.67,80:0B:86:E8:26:1B,Ubuntu 20.04 LTS,64,Dirección,Web Server
SRV-GNL-0256,172.28.88.17,82:7E:71:2A:24:0C,Red Hat 8,16,Logística,File Server
SRV-FKD-0257,172.17.156.183,E0:58:F0:C8:5D:EE,Ubuntu 20.04 LTS,16,Dirección,Backup
SRV-XPR-0258,10.239.90.162,44:03:A4:2D:F5:D4,Windows Server 2019,2,Operaciones,DNS
SRV-RPN-0259,192.168.20.30,E2:10:7C:02:DC:F1,Red Hat 8,2,Dirección,Web Server
SRV-WNV-0260,172.21.219.252,2A:FD:FA:21:04:95,Windows Server 2022,16,Operaciones,Web Server
SRV-ZSO-0261,10.201.252.55,1E:B6:82:FA:54:9F,Windows Server 2022,2,Operaciones,File Server
SRV-DWK-0262,192.168.201.139,BC:C5:A5:0C:B7:B9,Debian 11,2,RRHH,DNS
SRV-JOT-0263,172.27.206.21,4A:87:69:56:0E:14,CentOS 7,64,Finanzas,DB Server
SRV-YLU-0264,192.168.179.119,42:67:76:7B:99:CC,Ubuntu 20.04 LTS,16,Operaciones,DB Server
SRV-OXY-0265,172.24.97.186,D4:A3:BA:E7:57:E2,Debian 11,8,Logística,File Server
SRV-ADB-0266,172.27.186.66,58:55:4B:C2:02:07,CentOS 7,4,RRHH,File Server
SRV-HGB-0267,192.168.162.59,FA:73:B4:E8:C5:AD,CentOS 7,4,Finanzas,File Server
SRV-VYS-0268,172.25.180.171,CA:8C:25:8A:86:57,Red Hat 8,4,Operaciones,Backup
SRV-IJM-0269,172.20.89.151,C8:AB:6A:C6:17:47,Red Hat 8,8,Operaciones,Mail Server
SRV-SJX-0270,172.21.171.168,18:A5:1C:A3:1C:CF,Ubuntu 20.04 LTS,8,RRHH,Web Server
SRV-GSS-0271,172.25.67.224,F6:9D:81:6A:90:F5,Debian 11,16,Marketing,DNS
SRV-ETL-0272,192.168.174.94,FA:50:0B:B9:3F:2B,Ubuntu 22.04 LTS,4,RRHH,DNS
SRV-ZPO-0273,192.168.215.159,D2:11:0D:EE:46:30,CentOS 7,64,RRHH,Web Server
SRV-ELD-0274,192.168.234.242,F8:1D:89:B3:AC:B3,Windows Server 2019,32,RRHH,File Server
SRV-VPM-0275,192.168.165.154,4C:D7:B3:7C:E4:73,Windows Server 2019,4,Dirección,DNS
SRV-UYX-0276,192.168.191.83,D4:C7:48:32:0F:A1,Windows Server 2022,16,Logística,File Server
SRV-FGQ-0277,172.30.34.157,AE:D3:4E:2B:7C:46,Ubuntu 20.04 LTS,8,Marketing,Web Server
SRV-UCP-0278,10.79.152.228,52:46:07:B6:5F:93,Ubuntu 22.04 LTS,8,Logística,File Server
SRV-XIZ-0279,10.12.236.136,90:1D:8E:C7:02:AC,Debian 11,4,Dirección,Mail Server
SRV-DMV-0280,172.23.47.41,96:A9:C0:15:73:E4,Debian 11,2,RRHH,DB Server
SRV-CDE-0281,192.168.88.226,BC:0F:ED:E2:67:9A,Windows Server 2019,64,Dirección,DNS
SRV-IGV-0282,10.29.24.80,A8:61:6A:B2:B9:E6,Ubuntu 20.04 LTS,64,IT,DNS
SRV-OPU-0283,192.168.143.254,12:25:01:50:E6:0B,Ubuntu 22.04 LTS,64,Marketing,File Server
SRV-EXX-0284,172.17.175.226,5C:91:F3:17:0A:23,Ubuntu 20.04 LTS,4,RRHH,DNS
SRV-VHH-0285,192.168.128.18,58:79:63:66:38:5D,Red Hat 8,2,Dirección,DB Server
SRV-MFV-0286,10.66.84.54,EE:20:F7:91:18:EB,Debian 11,16,Marketing,Mail Server
SRV-UDA-0287,192.168.176.115,66:5B:9E:D3:45:A2,Windows Server 2022,8,Dirección,DNS
SRV-MER-0288,192.168.4.62,B4:E2:B1:3D:0C:1D,CentOS 7,2,Marketing,Backup
SRV-XCN-0289,10.14.94.245,B2:F0:6E:AF:C3:22,Debian 11,4,IT,DB Server
SRV-RUH-0290,192.168.248.128,A8:FA:AB:0A:2B:96,Ubuntu 20.04 LTS,8,Dirección,Backup
SRV-COX-0291,172.16.173.211,EE:AA:B5:19:76:8B,Windows Server 2022,32,RRHH,Web Server
SRV-JVX-0292,172.29.42.95,F6:77:57:3A:6D:C8,Windows Server 2019,64,IT,DB Server
SRV-WQP-0293,10.101.226.223,0C:67:09:A4:A6:CD,Windows Server 2019,4,Logística,DB Server
SRV-IHU-0294,10.219.63.250,2E:7A:A2:4D:99:E9,Debian 11,4,Dirección,Proxy
SRV-OHH-0295,192.168.247.98,40:76:44:00:F2:B3,Windows Server 2022,2,Dirección,Backup
SRV-WOZ-0296,192.168.142.107,C2:72:DD:15:08:D5,Windows Server 2019,16,Marketing,Web Server
SRV-GAS-0297,10.221.58.124,44:DC:AE:5C:44:93,Windows Server 2022,2,Dirección,Proxy
SRV-CAD-0298,172.20.72.85,B8:77:A7:90:AF:8C,Red Hat 8,64,Operaciones,File Server
SRV-NAI-0299,192.168.133.130,84:D4:E9:0D:D0:1E,Ubuntu 22.04 LTS,2,IT,File Server
SRV-MIQ-0300,172.16.24.102,CE:7F:79:22:A3:34,Ubuntu 20.04 LTS,2,Finanzas,Mail Server
SRV-KPA-0301,10.244.70.80,78:CD:61:B3:7F:A5,Ubuntu 20.04 LTS,32,Dirección,DNS
SRV-XAL-0302,172.21.161.123,84:AE:77:FE:D6:A4,Red Hat 8,32,RRHH,Mail Server
SRV-BXM-0303,10.88.19.19,92:41:B9:E4:AE:29,Windows Server 2022,4,Marketing,Proxy
SRV-TAB-0304,192.168.111.118,7E:E2:55:29:E3:9E,Ubuntu 20.04 LTS,64,Dirección,Web Server
SRV-BBY-0305,10.171.99.159,46:AF:2A:8D:D1:99,Debian 11,32,Finanzas,File Server
SRV-GDX-0306,172.16.234.203,92:EE:A3:66:87:17,Windows Server 2019,4,IT,DNS
SRV-OPH-0307,192.168.201.252,9A:D0:23:DF:28:A5,Windows Server 2022,8,Finanzas,DNS
SRV-POX-0308,192.168.72.148,A0:5E:D1:87:94:D0,Ubuntu 20.04 LTS,2,Operaciones,DB Server
SRV-QCR-0309,10.112.177.94,AC:76:89:EA:73:15,Ubuntu 22.04 LTS,2,Operaciones,Web Server
SRV-OGU-0310,10.7.98.148,48:9E:4B:12:3D:CE,Windows Server 2019,2,Dirección,Web Server
SRV-GDJ-0311,192.168.192.68,F6:95:AB:4D:3C:B1,Debian 11,8,IT,Mail Server
SRV-JZP-0312,10.59.243.85,BC:6B:F8:EA:84:3B,Debian 11,4,IT,Backup
SRV-QHG-0313,10.60.187.255,2A:44:BA:80:18:AD,Ubuntu 20.04 LTS,32,IT,Web Server
SRV-JUP-0314,10.215.205.237,D8:3F:CA:33:99:84,CentOS 7,2,Operaciones,File Server
SRV-UJZ-0315,172.28.20.220,8E:B2:C3:AE:48:E2,Ubuntu 20.04 LTS,4,Dirección,DNS
SRV-LBM-0316,172.20.17.5,64:88:62:E9:71:90,CentOS 7,64,Marketing,Backup
SRV-CEX-0317,172.20.26.202,A2:34:A6:29:9C:62,Ubuntu 22.04 LTS,16,Marketing,Mail Server
SRV-GYB-0318,192.168.70.98,60:DD:E1:CD:C3:5C,Red Hat 8,32,Logística,DB Server
SRV-DUP-0319,172.28.224.228,86:A4:AB:9D:7C:C0,Ubuntu 22.04 LTS,32,Dirección,Web Server
SRV-OPK-0320,10.73.247.99,70:DC:34:08:C3:46,Ubuntu 20.04 LTS,64,IT,Proxy
SRV-BDQ-0321,10.185.19.35,E4:93:36:BB:5F:CF,Debian 11,16,IT,File Server
SRV-BRO-0322,172.28.148.137,EE:E4:F8:BC:DD:7C,Ubuntu 22.04 LTS,32,Finanzas,DNS
SRV-PHX-0323,172.22.205.82,0A:D2:8F:DC:FF:64,CentOS 7,16,Operaciones,DB Server
SRV-CNS-0324,172.18.218.127,02:CF:70:37:90:B8,Debian 11,4,RRHH,Backup
SRV-NZY-0325,172.28.78.157,94:E0:59:54:66:04,Debian 11,32,Marketing,DB Server
SRV-RTO-0326,10.18.77.70,D2:CE:A6:DD:77:F2,CentOS 7,8,Finanzas,Mail Server
SRV-ZHR-0327,10.83.136.80,20:53:8D:BA:F9:03,CentOS 7,16,IT,Mail Server
SRV-IBX-0328,10.37.209.104,4C:3B:F7:76:2E:12,Ubuntu 20.04 LTS,2,Marketing,File Server
SRV-UDW-0329,10.182.79.23,AA:89:9E:68:95:70,Ubuntu 22.04 LTS,32,Operaciones,DNS
SRV-WJV-0330,10.94.127.37,92:CF:2D:3C:03:1D,Red Hat 8,2,Finanzas,Web Server
SRV-WAI-0331,192.168.170.78,1E:BA:C2:65:D3:26,Windows Server 2019,32,IT,File Server
SRV-UKY-0332,192.168.230.210,04:7A:75:A7:42:12,Debian 11,8,Operaciones,DNS
SRV-ZXN-0333,10.139.207.47,3E:0D:EC:62:72:D2,Windows Server 2019,16,Operaciones,File Server
SRV-AYY-0334,10.214.95.58,E2:BA:CF:BA:2C:31,CentOS 7,4,Operaciones,Proxy
SRV-IZK-0335,192.168.226.212,AE:84:2C:C9:52:3B,Windows Server 2022,2,Logística,Backup
SRV-BFZ-0336,172.22.39.237,5A:2A:65:43:67:74,Ubuntu 20.04 LTS,8,Dirección,File Server
SRV-YGQ-0337,172.21.166.112,2E:35:3F:9C:7C:57,Windows Server 2019,8,Finanzas,Backup
SRV-JEN-0338,192.168.87.85,18:96:99:7E:C1:67,CentOS 7,16,RRHH,Backup
SRV-LZC-0339,192.168.43.253,1E:40:C6:BC:D2:9C,Ubuntu 22.04 LTS,64,RRHH,DB Server
SRV-DKJ-0340,10.61.240.151,28:E1:02:BC:4B:29,CentOS 7,4,Operaciones,Mail Server
SRV-FEV-0341,10.202.148.68,B8:88:47:4C:70:9B,Windows Server 2022,16,Operaciones,Mail Server
SRV-XYJ-0342,10.115.144.209,38:44:B2:69:7B:48,Ubuntu 22.04 LTS,32,Dirección,DB Server
SRV-KFP-0343,192.168.146.223,22:B2:28:9E:32:68,CentOS 7,64,Operaciones,Mail Server
SRV-OJL-0344,192.168.54.240,CA:5A:D1:7E:23:76,Red Hat 8,4,IT,File Server
SRV-QII-0345,192.168.39.221,38:AF:5F:92:D7:5B,CentOS 7,8,Dirección,Web Server
SRV-QPR-0346,10.3.124.225,7A:54:77:FF:AA:64,Windows Server 2019,4,Dirección,Proxy
SRV-RTF-0347,10.171.152.179,8C:96:F5:DE:DB:AC,CentOS 7,4,Finanzas,Backup
SRV-WEJ-0348,172.20.175.236,B0:23:94:E9:4A:47,Windows Server 2022,16,Operaciones,DNS
SRV-QJI-0349,10.142.140.209,28:FF:79:02:08:63,Windows Server 2019,4,RRHH,Web Server
SRV-HRT-0350,192.168.162.83,CA:F5:AF:3E:ED:E7,Ubuntu 20.04 LTS,2,Dirección,Web Server
SRV-TCD-0351,192.168.212.13,02:F1:23:DD:49:D2,Windows Server 2019,8,Marketing,DB Server
SRV-LVM-0352,192.168.171.71,84:9F:A9:17:02:4A,Debian 11,2,Operaciones,File Server
SRV-ZQO-0353,10.118.103.204,D6:B7:3B:85:06:8D,Ubuntu 22.04 LTS,32,Finanzas,Backup
SRV-TOY-0354,192.168.192.141,D0:24:4D:08:8B:D4,Windows Server 2022,2,IT,DB Server
SRV-ZJA-0355,172.18.232.115,8C:16:F8:73:2A:E9,Red Hat 8,4,Operaciones,File Server
SRV-SWE-0356,172.23.9.106,28:8F:1A:12:DC:6B,Ubuntu 20.04 LTS,2,Marketing,Web Server
SRV-ZSP-0357,192.168.216.5,22:8C:80:D1:13:11,Windows Server 2019,2,Logística,File Server
SRV-SVC-0358,192.168.179.90,38:E4:C1:CE:68:36,Red Hat 8,2,Dirección,Proxy
SRV-VVY-0359,172.18.223.46,9A:AD:0A:56:F0:AE,Ubuntu 22.04 LTS,2,IT,Proxy
SRV-PCT-0360,192.168.62.140,B6:79:F5:57:66:B7,Red Hat 8,64,Logística,DNS
SRV-DEB-0361,10.54.178.139,62:74:2F:D5:44:56,Debian 11,4,Operaciones,DNS
SRV-KKY-0362,10.178.178.193,24:55:20:D9:11:FB,Debian 11,4,Logística,DNS
SRV-TIP-0363,10.164.97.147,54:34:B3:16:06:A4,CentOS 7,2,RRHH,Web Server
SRV-PRS-0364,10.126.144.195,E0:AA:FD:8A:C3:DE,Windows Server 2019,16,RRHH,Backup
SRV-THH-0365,192.168.123.234,14:3D:D3:48:35:08,Ubuntu 20.04 LTS,4,Logística,DNS
SRV-GRU-0366,172.23.94.23,68:B0:14:9B:1E:6C,Windows Server 2019,8,Logística,DB Server
SRV-LBX-0367,10.231.231.193,A8:D0:8A:6E:EA:62,Ubuntu 20.04 LTS,2,Marketing,Mail Server
SRV-IAC-0368,192.168.126.0,D8:C6:A3:90:47:25,Windows Server 2019,32,IT,Backup
SRV-FBE-0369,172.25.123.153,B4:30:38:1C:70:E9,Ubuntu 22.04 LTS,4,Operaciones,DB Server
SRV-XBW-0370,10.5.18.170,CA:CC:5E:AA:D9:3C,CentOS 7,32,IT,Proxy
SRV-EIV-0371,192.168.107.43,78:C8:31:AC:48:6C,Windows Server 2019,4,Marketing,DNS
SRV-MLZ-0372,172.23.224.196,38:6C:FC:7B:3A:79,Windows Server 2019,8,Logística,Mail Server
SRV-BNR-0373,10.167.62.185,DE:8A:C4:FE:AD:CF,Ubuntu 20.04 LTS,8,RRHH,Backup
SRV-ESR-0374,10.25.150.140,A4:E9:39:34:BB:DE,Windows Server 2019,8,RRHH,Mail Server
SRV-SHI-0375,10.24.127.205,96:D6:78:BA:82:B2,Ubuntu 22.04 LTS,8,IT,Web Server
SRV-LCT-0376,10.61.45.63,46:3B:C5:D2:69:64,Windows Server 2022,32,Operaciones,DB Server
SRV-NRH-0377,172.26.151.74,70:2D:E7:A9:AA:84,Red Hat 8,64,Logística,Backup
SRV-TAJ-0378,192.168.254.111,10:C3:D2:70:22:B4,Ubuntu 20.04 LTS,64,IT,Web Server
SRV-VXL-0379,192.168.38.143,64:31:47:07:8B:17,CentOS 7,64,Finanzas,Mail Server
SRV-BWS-0380,10.108.1.192,38:97:F5:2C:9A:0A,Debian 11,32,Marketing,DNS
SRV-JLR-0381,10.28.130.160,DE:F1:FA:E1:3A:87,Windows Server 2019,16,Dirección,Proxy
SRV-YXW-0382,10.38.15.157,3A:8D:BC:06:C0:A7,Ubuntu 22.04 LTS,8,Logística,Web Server
SRV-RHR-0383,172.16.20.224,EA:8C:76:52:8C:9C,Ubuntu 22.04 LTS,8,IT,Backup
SRV-CMX-0384,10.66.126.166,62:9D:E2:9D:9B:FF,Ubuntu 22.04 LTS,8,RRHH,DB Server
SRV-SVW-0385,192.168.39.113,18:46:1D:16:6A:A8,Red Hat 8,16,Logística,Proxy
SRV-YPV-0386,192.168.138.199,68:52:FA:DE:0B:7A,Red Hat 8,2,RRHH,Backup
SRV-AMV-0387,172.25.20.126,2E:62:76:31:A7:BA,Ubuntu 20.04 LTS,2,IT,File Server
SRV-YXM-0388,172.28.36.70,B6:48:73:1F:12:CD,Ubuntu 20.04 LTS,16,Logística,Mail Server
SRV-WFD-0389,192.168.74.222,5C:84:17:37:08:E1,Ubuntu 22.04 LTS,2,Dirección,Backup
SRV-VLH-0390,10.251.216.4,B6:2E:D3:DC:3A:9C,Ubuntu 22.04 LTS,2,RRHH,File Server
SRV-QMD-0391,10.216.6.101,E2:67:3F:E7:08:F4,Windows Server 2022,32,IT,Backup
SRV-BDM-0392,10.116.135.128,2E:6D:83:A5:1C:3A,Ubuntu 22.04 LTS,16,Dirección,DB Server
SRV-ZGC-0393,10.148.249.64,78:BC:B9:0E:FD:CA,Windows Server 2022,4,Operaciones,Backup
SRV-ZRI-0394,172.23.2.181,68:55:7A:5E:65:AE,Windows Server 2022,4,IT,Backup
SRV-SJZ-0395,192.168.147.48,EE:06:DB:E2:01:47,Debian 11,16,RRHH,File Server
SRV-EXX-0396,172.23.166.183,90:28:5A:5A:6C:FD,Ubuntu 22.04 LTS,8,Operaciones,Mail Server
SRV-HMD-0397,10.231.141.235,A2:83:49:8B:00:74,Ubuntu 20.04 LTS,2,Operaciones,Proxy
SRV-GRN-0398,10.90.12.164,D0:2E:30:7E:E4:87,CentOS 7,16,Logística,Mail Server
SRV-NME-0399,192.168.218.165,7A:07:E4:83:F3:64,CentOS 7,4,Operaciones,Web Server
SRV-WMI-0400,172.20.239.191,44:4F:9C:80:63:C9,Red Hat 8,16,RRHH,File Server
SRV-KBL-0401,192.168.8.255,52:98:60:08:77:CF,Windows Server 2022,4,Marketing,Backup
SRV-ILG-0402,192.168.165.83,1E:CD:D1:FA:84:F0,Ubuntu 22.04 LTS,32,IT,DNS
SRV-ABZ-0403,10.129.140.194,7E:F8:27:AD:18:CD,Windows Server 2019,32,Marketing,Web Server
SRV-XPO-0404,172.20.169.111,10:DD:D6:0F:78:E0,Windows Server 2022,32,Marketing,Proxy
SRV-SDW-0405,172.30.109.35,02:93:10:8B:DD:66,Windows Server 2019,16,IT,DB Server
SRV-DNO-0406,10.172.18.125,28:78:3F:20:36:85,Windows Server 2022,32,Operaciones,Backup
SRV-BBP-0407,192.168.63.147,FA:C8:B5:23:FD:13,Ubuntu 22.04 LTS,8,IT,Mail Server
SRV-GCP-0408,172.20.106.194,18:24:7C:FA:23:27,Red Hat 8,32,Logística,Backup
SRV-ZEW-0409,172.30.236.232,DC:09:59:3B:CC:56,CentOS 7,64,IT,Mail Server
SRV-QAG-0410,10.166.62.238,1E:25:AE:76:3B:FF,CentOS 7,4,Operaciones,Backup
SRV-OOZ-0411,10.215.93.33,E2:99:74:08:2C:DC,Windows Server 2022,8,Logística,Proxy
SRV-VDP-0412,10.239.226.110,7E:24:35:0B:44:F3,Ubuntu 20.04 LTS,32,Operaciones,File Server
SRV-UMZ-0413,172.20.74.38,BC:D2:DD:33:32:61,Debian 11,16,IT,Proxy
SRV-HPG-0414,10.158.42.207,A4:21:A2:D4:A2:3E,Ubuntu 22.04 LTS,32,Finanzas,Mail Server
SRV-EXT-0415,172.29.100.237,84:08:27:58:83:9F,Windows Server 2022,32,Dirección,Mail Server
SRV-JZU-0416,10.19.33.59,CC:67:E6:7D:6A:31,Debian 11,2,Logística,DB Server
SRV-OPW-0417,192.168.74.190,62:E9:BC:CE:55:6C,Debian 11,4,Finanzas,DB Server
SRV-YAA-0418,192.168.174.50,EE:52:83:23:F8:2B,Red Hat 8,4,Marketing,DNS
SRV-VAP-0419,192.168.121.103,6C:E4:DF:AD:79:82,Ubuntu 20.04 LTS,32,Marketing,Web Server
SRV-GQK-0420,172.18.118.147,7A:23:E2:54:04:BB,Windows Server 2019,16,Logística,Proxy
SRV-HMB-0421,10.188.127.210,30:86:35:90:A2:4E,Ubuntu 20.04 LTS,4,Operaciones,DNS
SRV-UKD-0422,10.247.33.63,90:B7:99:17:11:5A,Windows Server 2022,16,Marketing,Proxy
SRV-GXH-0423,10.8.58.33,DA:0B:A9:12:DD:F8,Red Hat 8,32,Marketing,DNS
SRV-EEU-0424,172.27.81.229,A2:82:0D:7D:EA:BB,Windows Server 2019,16,Logística,Backup
SRV-FBR-0425,10.245.238.200,92:5C:3C:35:1D:8B,Debian 11,4,Operaciones,Mail Server
SRV-KZQ-0426,172.25.85.217,76:86:6E:A1:6D:B8,Debian 11,2,Dirección,Proxy
SRV-HTO-0427,192.168.83.43,7A:B5:E7:01:25:AD,Debian 11,2,Marketing,DNS
SRV-MJZ-0428,172.29.222.37,40:B8:F8:91:18:90,Windows Server 2019,4,Logística,Proxy
SRV-ABB-0429,172.20.37.12,16:82:F9:0E:C0:92,Red Hat 8,32,Logística,Web Server
SRV-SCY-0430,172.21.200.202,22:E3:8C:E6:BE:61,Red Hat 8,4,Logística,Backup
SRV-IVK-0431,172.30.207.30,52:BD:43:34:17:7B,Windows Server 2022,64,IT,Mail Server
SRV-AKC-0432,10.156.252.64,96:9E:4F:58:EE:7C,Red Hat 8,4,Operaciones,Backup
SRV-IQV-0433,192.168.188.80,26:B1:2E:C5:AB:1C,Windows Server 2022,16,Dirección,DNS
SRV-UUV-0434,192.168.164.131,E2:85:FA:4B:5A:1F,Windows Server 2019,4,RRHH,DNS
SRV-YBJ-0435,10.125.213.125,3A:8A:34:CD:EE:0D,Windows Server 2019,8,Dirección,Backup
SRV-NXN-0436,172.24.141.173,86:C1:9D:CD:69:92,Ubuntu 22.04 LTS,64,Dirección,Web Server
SRV-RQA-0437,172.29.164.253,AC:09:0E:10:F3:FC,Windows Server 2019,64,Operaciones,Web Server
SRV-ATS-0438,192.168.117.206,16:F0:81:26:63:43,CentOS 7,64,Dirección,Mail Server
SRV-EVR-0439,172.27.142.113,DC:59:2A:97:6D:23,Windows Server 2019,32,RRHH,Mail Server
SRV-OGI-0440,192.168.158.103,5C:EA:AA:BB:1D:82,Windows Server 2019,16,IT,Web Server
SRV-KUY-0441,10.89.11.150,C4:6A:A4:E3:FF:66,CentOS 7,64,Logística,DNS
SRV-RKK-0442,172.29.85.52,A2:17:E2:3C:B8:D6,Ubuntu 22.04 LTS,4,IT,DB Server
SRV-JOR-0443,10.11.11.7,8E:37:B3:10:75:E4,Ubuntu 22.04 LTS,8,Operaciones,Backup
SRV-RLL-0444,192.168.143.220,CE:44:20:45:D1:4F,Red Hat 8,64,IT,Mail Server
SRV-TZM-0445,172.27.182.40,96:D3:4E:CE:5F:2D,Windows Server 2022,32,Operaciones,Backup
SRV-RWW-0446,10.104.111.3,1C:F1:CD:35:4B:11,Debian 11,32,IT,Web Server
SRV-LRT-0447,172.17.116.119,1E:06:85:D2:A4:21,Ubuntu 20.04 LTS,4,Finanzas,DNS
SRV-DSP-0448,172.25.200.187,2E:E5:8D:70:FE:B3,CentOS 7,2,Marketing,File Server
SRV-ROF-0449,192.168.27.114,BE:B9:0C:26:A5:92,CentOS 7,8,Marketing,File Server
SRV-TNW-0450,192.168.57.8,E2:65:ED:36:1F:D6,Ubuntu 22.04 LTS,8,Dirección,Web Server
SRV-VNG-0451,192.168.123.101,08:2E:6E:06:30:37,CentOS 7,64,Logística,Web Server
SRV-DFI-0452,172.25.110.103,DE:34:6A:0F:F2:12,Windows Server 2022,16,Operaciones,DNS
SRV-QOP-0453,172.17.155.210,64:EE:74:21:69:7B,CentOS 7,64,Logística,Web Server
SRV-QRT-0454,172.29.190.81,80:53:72:04:86:20,CentOS 7,32,IT,DB Server
SRV-EDV-0455,172.22.235.72,5C:5A:25:40:27:19,Debian 11,2,Finanzas,DB Server
SRV-KKQ-0456,172.29.48.78,72:DC:44:94:4E:C1,Windows Server 2022,8,Finanzas,Mail Server
SRV-OFH-0457,172.20.16.91,6C:50:18:DB:1C:56,Ubuntu 20.04 LTS,32,Logística,File Server
SRV-TIT-0458,172.24.102.157,1E:B2:BD:2D:FD:26,Red Hat 8,2,RRHH,DB Server
SRV-DIV-0459,10.146.148.248,9A:10:55:D2:4A:D6,CentOS 7,64,Finanzas,Mail Server
SRV-VFO-0460,10.247.219.5,DC:99:3A:2A:C6:D7,Red Hat 8,64,Logística,Mail Server
SRV-QHY-0461,192.168.119.105,58:58:CC:E6:42:54,Red Hat 8,64,IT,Web Server
SRV-DTF-0462,192.168.11.243,46:BE:F0:99:68:97,Windows Server 2022,8,RRHH,Mail Server
SRV-OEX-0463,172.24.170.134,00:01:73:D5:6C:F5,CentOS 7,32,Marketing,DB Server
SRV-PJN-0464,192.168.10.145,6E:7F:86:5F:0C:67,CentOS 7,2,Finanzas,Web Server
SRV-OTJ-0465,192.168.153.164,3C:F4:A8:23:31:D3,Ubuntu 20.04 LTS,2,Finanzas,DB Server
SRV-VRY-0466,192.168.28.160,42:CB:39:E0:36:2F,Windows Server 2019,32,IT,Proxy
SRV-TNB-0467,172.31.59.98,60:03:2C:F1:E7:4D,Ubuntu 20.04 LTS,2,Finanzas,Proxy
SRV-IKK-0468,192.168.113.205,2E:D2:70:C2:F3:09,Ubuntu 22.04 LTS,2,Finanzas,DNS
SRV-IRA-0469,172.23.10.81,CC:0D:49:A7:82:A7,Ubuntu 22.04 LTS,32,IT,File Server
SRV-AET-0470,172.22.123.193,9A:87:7F:F9:B6:B9,Ubuntu 22.04 LTS,2,RRHH,Backup
SRV-JFO-0471,10.75.174.248,C4:C6:8A:94:4F:1A,CentOS 7,32,IT,Proxy
SRV-UEB-0472,192.168.40.163,E0:FA:48:DC:6E:4A,Windows Server 2019,64,RRHH,File Server
SRV-SDB-0473,192.168.118.2,A6:7C:0A:39:71:A1,CentOS 7,8,Logística,DNS
SRV-JDJ-0474,10.223.136.218,18:41:A7:11:FB:2F,CentOS 7,16,Operaciones,Web Server
SRV-PIH-0475,172.27.120.71,06:A2:E3:B8:83:8C,Debian 11,64,IT,Mail Server
SRV-XGY-0476,10.217.197.89,CC:25:A1:EF:2B:05,CentOS 7,4,Logística,DNS
SRV-JSY-0477,172.20.223.187,9A:D8:0D:3D:1C:E0,Red Hat 8,64,IT,DNS
SRV-AXG-0478,192.168.84.8,70:C4:14:1E:B8:FE,Debian 11,4,Marketing,Backup
SRV-ASG-0479,172.29.84.28,C6:5D:81:03:9C:BB,CentOS 7,16,IT,Proxy
SRV-JNM-0480,192.168.177.153,04:28:E8:0E:6D:D3,Windows Server 2022,64,Logística,DB Server
SRV-EOD-0481,172.27.220.193,E0:85:49:BA:38:1A,Windows Server 2019,8,IT,Mail Server
SRV-ODS-0482,10.182.180.186,02:6E:99:D7:48:BA,Ubuntu 20.04 LTS,8,IT,Backup
SRV-UIL-0483,172.20.204.196,68:68:B8:05:7D:55,Red Hat 8,2,Operaciones,Mail Server
SRV-FDP-0484,172.18.6.61,CC:39:E2:29:EE:CE,Ubuntu 22.04 LTS,16,RRHH,Proxy
SRV-CEB-0485,192.168.242.142,22:55:D3:98:63:88,Debian 11,64,RRHH,File Server
SRV-LEX-0486,172.23.133.233,30:1D:98:18:86:1C,Windows Server 2019,2,Dirección,File Server
SRV-LHD-0487,192.168.14.177,BA:C7:B3:FD:57:D1,Windows Server 2022,64,Dirección,Proxy
SRV-QDK-0488,10.109.45.122,B4:4D:E1:9B:78:D1,Debian 11,16,RRHH,DNS
SRV-XFU-0489,192.168.143.237,44:C7:03:25:2E:D1,Windows Server 2019,64,Finanzas,Backup
SRV-MVA-0490,10.65.166.74,40:4E:9A:E1:66:65,CentOS 7,4,Operaciones,Web Server
SRV-DQS-0491,172.18.252.237,18:3E:EC:2D:7A:39,Ubuntu 22.04 LTS,16,Logística,DB Server
SRV-RSH-0492,172.17.75.187,B2:5A:60:1A:FA:87,Debian 11,4,Logística,Backup
SRV-IMX-0493,10.6.88.111,0A:02:E9:8C:43:45,CentOS 7,64,IT,Backup
SRV-HLX-0494,172.28.233.200,4A:A9:20:A8:80:A8,CentOS 7,16,Operaciones,DB Server
